DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2021-01-01,3,0,10,2,2,1,3.7,98,5,1013,82.125,3,2,-1,338,332,323,3.1,1,3,météo très défavorable,16:47:00,08:41:00,2
2021-01-02,3,-2,8,-1,2,2,0.1,94,9,1015,62.75,3,1,-3,143,116,116,0.1,1,6.8,météo très défavorable,16:48:00,08:41:00,0
2021-01-03,2,-1,20,1,2,1,0,94,9,1018,78,2,0,-3,122,116,122,0,2,3,météo très défavorable,16:49:00,08:41:00,1
2021-01-04,2,-1,23,1,2,2,1.9,97,4.5,1016,100,2,2,-3,326,332,332,1.6,1,3,météo très défavorable,16:51:00,08:41:00,1
2021-01-05,2,1,19,2,2,2,1.2,97,6.75,1018,100,2,1,-3,338,326,368,1,1,3,météo très défavorable,16:52:00,08:40:00,2
2021-01-06,1,-1,12,1,1,0,2.2,97,5.375,1017,100,1,1,-3,122,332,338,1.8,1,3,météo très défavorable,16:53:00,08:40:00,1
2021-01-07,2,0,17,1,2,1,4.9,98,3.75,1016,100,2,1,-3,332,332,338,3.7,1,3.1,météo très défavorable,16:54:00,08:40:00,0
2021-01-08,1,-4,15,-0,1,-0,2.7,93,6.75,1020,82.75,1,1,-5,338,116,119,2.3,1,4.9,météo très défavorable,16:56:00,08:39:00,1
2021-01-09,1,-2,8,-2,1,-0,0.4,96,6.25,1026,53.625,1,0,-4,143,143,116,0.3,1,6.8,météo très défavorable,16:57:00,08:39:00,-1
2021-01-10,1,-3,4,-3,1,-0,0,93,8,1027,45.5,1,0,-4,143,122,116,0,2,6.8,météo très défavorable,16:58:00,08:38:00,-2
